p,q,gap_len,w,tau_w,frac_pos,budget,packet
575251,575257,6,575252,6,0.16666666666666666,450.9273079770468,d6
575401,575417,16,575402,4,0.0625,888.610188069863,d4_semiprime
575489,575503,14,575493,4,0.2857142857142857,795.7793229025752,d4_semiprime
575591,575593,2,575592,32,0.5,198.94731533037168,d8_plus
575689,575693,4,575691,8,0.5,198.9498915868876,d8_plus
575777,575791,14,575779,4,0.14285714285714285,915.1807168231057,d4_semiprime
575893,575903,10,575894,8,0.1,676.4480299660122,d8_plus
575987,576001,14,575993,4,0.42857142857142855,1485.5518992378386,d4_semiprime
576049,576089,40,576053,4,0.1,3044.084430942795,d4_semiprime
576179,576193,14,576181,4,0.14285714285714285,1498.8527077713559,d4_semiprime
576287,576293,6,576291,4,0.6666666666666666,1034.6204071330235,d4_semiprime
576391,576421,30,576395,4,0.13333333333333333,2493.7387935314596,d4_semiprime
576493,576509,16,576494,4,0.0625,1392.7968728091869,d4_semiprime
576577,576581,4,576579,4,0.5,198.9730285218373,d4_semiprime
576671,576677,6,576673,4,0.3333333333333333,504.0712275222748,d4_semiprime
576727,576731,4,576729,6,0.5,371.4236120828886,d6
576791,576881,90,576799,4,0.08888888888888889,7959.186734349859,d4_semiprime
576977,577007,30,576979,4,0.06666666666666667,2241.883581338856,d4_semiprime
577081,577097,16,577091,4,0.625,1008.1972686825457,d4_semiprime
577177,577193,16,577183,4,0.375,1246.9963879860525,d4_semiprime
577327,577331,4,577329,8,0.5,185.7263512272113,d8_plus
577399,577427,28,577403,4,0.14285714285714285,2321.604773479953,d4_semiprime
577513,577517,4,577516,6,0.75,212.26381953703756,d6
577573,577589,16,577579,4,0.375,1446.0597428361066,d4_semiprime
577721,577739,18,577723,4,0.1111111111111111,1605.2901630780968,d4_semiprime
577831,577849,18,577833,4,0.1111111111111111,1114.432423736838,d4_semiprime
577919,577931,12,577921,4,0.16666666666666666,1366.52108813145,d4_semiprime
578029,578041,12,578031,4,0.16666666666666666,941.9846998001524,d4_semiprime
578131,578167,36,578134,4,0.08333333333333333,3356.6998765408753,d4_semiprime
578267,578297,30,578269,4,0.06666666666666667,2414.7427568641056,d4_semiprime
578363,578371,8,578369,4,0.75,623.5943652739841,d4_semiprime
578467,578477,10,578471,4,0.4,676.6755168572818,d4_semiprime
578537,578563,26,578541,4,0.15384615384615385,2348.485908855596,d4_semiprime
578621,578647,26,578623,4,0.07692307692307693,2003.5325876369477,d4_semiprime
578729,578741,12,578738,4,0.75,1021.6821818385705,d4_semiprime
578821,578827,6,578822,8,0.16666666666666666,451.1376633716611,d8_plus
578923,578957,34,578926,4,0.08823529411764706,3025.3222225686686,d4_semiprime
579053,579079,26,579055,4,0.07692307692307693,2096.529504419227,d4_semiprime
579197,579199,2,579198,16,0.5,92.88579766906305,d8_plus
579283,579287,4,579286,4,0.75,278.66054022695613,d4_semiprime
579427,579433,6,579431,4,0.6666666666666666,345.01483644835156,d4_semiprime
579521,579529,8,579526,4,0.625,424.63890237330156,d4_semiprime
579571,579583,12,579578,4,0.5833333333333334,1141.224597991979,d4_semiprime
579643,579653,10,579647,4,0.4,809.4807233517181,d4_semiprime
579757,579763,6,579758,8,0.16666666666666666,437.9222281217795,d8_plus
579877,579881,4,579878,8,0.25,504.28188840849265,d8_plus
579967,579973,6,579971,8,0.6666666666666666,544.0999806964866,d8_plus
580093,580133,40,580094,4,0.025,3092.1378529846647,d4_semiprime
580213,580219,6,580214,4,0.16666666666666666,358.3212011816185,d4_semiprime
580339,580343,4,580341,4,0.5,119.44233682087854,d4_semiprime
580417,580471,54,580418,4,0.018518518518518517,4432.697785897379,d4_semiprime
580561,580577,16,580565,4,0.25,1008.654002301402,d4_semiprime
