gap_divisor_count,count,share,min_gap,max_gap,mean_gap
424,77,0.0009469929897921535,6,36,28.337662337662337
425,1,1.2298610257040954e-05,30,30,30
426,71,0.0008732013282499077,18,40,29.830985915492956
427,4,4.9194441028163815e-05,20,28,26
428,70,0.0008609027179928669,8,36,28.514285714285716
429,5,6.149305128520478e-05,24,30,27.6
430,72,0.0008854999385069487,24,36,29.805555555555557
431,3,3.6895830771122866e-05,26,30,28
432,71,0.0008732013282499077,6,36,29.12676056338028
433,2,2.4597220514081907e-05,30,30,30
434,67,0.000824006887221744,14,38,29.64179104477612
435,2,2.4597220514081907e-05,30,34,32
436,75,0.0009223957692780716,16,36,29.546666666666667
438,74,0.0009100971590210306,10,42,30.64864864864865
439,2,2.4597220514081907e-05,26,26,26
440,83,0.0010207846513343992,6,36,29.59036144578313
441,2,2.4597220514081907e-05,28,28,28
442,77,0.0009469929897921535,18,40,30.25974025974026
444,77,0.0009469929897921535,12,36,30.493506493506494
445,1,1.2298610257040954e-05,30,30,30
446,52,0.0006395277333661296,16,38,29.807692307692307
447,1,1.2298610257040954e-05,28,28,28
448,64,0.000787111056450621,10,40,29.5625
449,4,4.9194441028163815e-05,28,30,29.5
450,69,0.0008486041077358259,24,38,31.565217391304348
451,2,2.4597220514081907e-05,30,30,30
452,72,0.0008854999385069487,10,42,30.75
454,67,0.000824006887221744,18,36,30.53731343283582
456,69,0.0008486041077358259,6,44,30.28985507246377
457,2,2.4597220514081907e-05,36,38,37
458,56,0.0006887221743942934,12,40,31.464285714285715
459,2,2.4597220514081907e-05,24,36,30
460,58,0.0007133193949083753,12,36,30.551724137931036
461,1,1.2298610257040954e-05,28,28,28
462,61,0.0007502152256794982,12,40,31.40983606557377
463,2,2.4597220514081907e-05,34,34,34
464,62,0.0007625138359365392,18,40,32
465,1,1.2298610257040954e-05,30,30,30
466,47,0.0005780346820809249,24,40,32.170212765957444
467,3,3.6895830771122866e-05,24,38,32
468,64,0.000787111056450621,10,42,31.3125
469,1,1.2298610257040954e-05,40,40,40
470,61,0.0007502152256794982,14,40,32.032786885245905
471,4,4.9194441028163815e-05,30,40,34.5
472,56,0.0006887221743942934,12,42,31.892857142857142
473,1,1.2298610257040954e-05,38,38,38
474,55,0.0006764235641372525,14,42,31.490909090909092
475,1,1.2298610257040954e-05,38,38,38
476,60,0.0007379166154224573,10,42,30.666666666666668
477,3,3.6895830771122866e-05,34,40,38
478,52,0.0006395277333661296,28,42,34.03846153846154
479,1,1.2298610257040954e-05,34,34,34
480,56,0.0006887221743942934,6,38,32.107142857142854
482,55,0.0006764235641372525,12,40,32.981818181818184
483,1,1.2298610257040954e-05,38,38,38
484,56,0.0006887221743942934,6,40,31.392857142857142
486,40,0.0004919444102816382,14,38,33.5
488,56,0.0006887221743942934,12,40,32.857142857142854
489,2,2.4597220514081907e-05,30,40,35
490,51,0.0006272291231090887,20,42,33.411764705882355
491,6,7.379166154224573e-05,32,36,33.333333333333336
492,65,0.000799409666707662,6,42,33.13846153846154
493,1,1.2298610257040954e-05,26,26,26
494,49,0.0006026319025950067,8,40,33.02040816326531
495,1,1.2298610257040954e-05,30,30,30
496,36,0.00044274996925347434,6,40,32.5
497,3,3.6895830771122866e-05,34,40,37.333333333333336
498,46,0.0005657360718238839,14,40,33.52173913043478
500,61,0.0007502152256794982,12,42,33.31147540983606
501,1,1.2298610257040954e-05,30,30,30
502,44,0.000541138851309802,24,42,35.09090909090909
503,1,1.2298610257040954e-05,40,40,40
504,42,0.00051654163079572,12,42,32.95238095238095
505,1,1.2298610257040954e-05,34,34,34
506,44,0.000541138851309802,12,42,33.04545454545455
507,1,1.2298610257040954e-05,34,34,34
508,41,0.0005042430205386791,8,42,34.09756097560975
509,3,3.6895830771122866e-05,32,38,35.333333333333336
510,36,0.00044274996925347434,20,42,35.55555555555556
512,48,0.0005903332923379659,6,42,30.125
513,2,2.4597220514081907e-05,36,36,36
514,40,0.0004919444102816382,14,46,34.05
515,2,2.4597220514081907e-05,38,40,39
516,46,0.0005657360718238839,20,42,34.608695652173914
517,1,1.2298610257040954e-05,34,34,34
518,32,0.0003935555282253105,26,42,36.25
519,6,7.379166154224573e-05,36,44,39
520,39,0.0004796458000245972,4,42,33.94871794871795
521,1,1.2298610257040954e-05,34,34,34
522,39,0.0004796458000245972,16,44,34.61538461538461
523,2,2.4597220514081907e-05,34,36,35
524,54,0.0006641249538802116,10,48,34.22222222222222
525,1,1.2298610257040954e-05,36,36,36
526,44,0.000541138851309802,12,42,35.54545454545455
527,1,1.2298610257040954e-05,36,36,36
528,37,0.0004550485795105153,10,46,31.45945945945946
529,1,1.2298610257040954e-05,40,40,40
530,40,0.0004919444102816382,14,42,35.4
531,2,2.4597220514081907e-05,34,40,37
532,45,0.000553437461566843,14,40,34.266666666666666
534,39,0.0004796458000245972,8,46,37.02564102564103
535,4,4.9194441028163815e-05,34,42,38
536,35,0.0004304513589964334,6,46,34
537,2,2.4597220514081907e-05,40,46,43
538,28,0.0003443610871971467,16,42,35.642857142857146
539,3,3.6895830771122866e-05,30,42,35.333333333333336
540,44,0.000541138851309802,10,46,34.09090909090909
541,1,1.2298610257040954e-05,36,36,36
542,34,0.00041815274873939246,30,44,38.05882352941177
543,1,1.2298610257040954e-05,40,40,40
544,37,0.0004550485795105153,16,46,35.83783783783784
546,35,0.0004304513589964334,18,52,38.34285714285714
547,2,2.4597220514081907e-05,40,40,40
548,42,0.00051654163079572,10,42,34.23809523809524
